Gene	NDM-6	msrE	AAC(3)-Ia	AAC(6')-Ib	SHV-12	fosA5	CTX-M-24	TEM-206	cmlA5	APH(3')-Ia	TEM-176	QnrB2	TEM-1	TEM-112	TEM-214	QnrS1	QnrB6	CTX-M-1	TEM-2	catB8	KPC-4	tet(B)	QnrB17	CTX-M-9	SHV-11	NDM-7	aadA25	aadA	CTX-M-65	QnrS4	TEM-30	arr-3	CTX-M-55	NDM-1	QnrD1	FosA3	CTX-M-14	TEM-163	ErmC	rmtB	sul2	tet(C)	QnrB1	AAC(6')-Ib9	AAC(6')-Ib4	SHV-1	APH(6)-Id	cmlA1	sul1	TEM-169	NDM-5	arr-2	OXA-23	dfrA12	TEM-156	KPC-3	aadA15	aadA2	AAC(6')-Ib'	mphA	ErmT	KPC-6	TEM-141	tet(D)	CTX-M-3	AAC(6')-Ib10	ANT(2'')-Ia	AAC(3)-IIc	aadA22	armA	TEM-40	TEM-216	TEM-160	TEM-81	aadA3	ErmB	dfrA14	aadA24	TEM-135	SHV-28	aadA16	tet(M)	CTX-M-27	SHV-5	APH(3'')-Ib	QnrB20	tet(A)	TEM-215	CTX-M-129	CTX-M-15	TEM-196	AAC(6')-Ib8	APH(3')-IIa	AAC(6')-Ib7	ANT3Ii_AAC6_IID	APH(3')-VI	AAC(3)-IIe	AAC(3)-IId	Ecol_catII	floR	ANT(3'')-IIa	FosA6	LAP-2	mphE	dfrA27	qacE	qacEdelta1	APH(3')-VIb	cmlA9	AAC(6')-Ib-cr5	AAC(6')-Ib-cr6	CTX-M-232	SFO-1	KPC-2	AAC6_Ie_APH2_Ia
N34	0	0	0	0	18290.396627250862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9145.198313625431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260537.28578045397	0	0	0	0	27435.594940876297	0	0	65616.79790026248	0	0	0	0	0	0	17854.91099	0	40379.567938623055	0	0	171407.1455353795	35709.82199	0	0	0	0	0	0	0	0	0	0	0	0	79535.51260637875	147571.91495641356	0	0	0	18290.396627250862	0	24606.299212598427	0	0	78348.41540329847	0	0	0	0	0	0	0	0	0	0	90854.02786190188	0	36580.793254501725	0	0	0	0	0	0	0	0	0	10094.891984655764	0	0	0	0	0	44637.27748317175	21872.265966754156
N10	0	0	0	0	17080.002732800436	0	67150.14773032501	0	0	0	0	0	17080.002732800436	0	0	0	0	0	0	0	33346.67200213419	0	0	50362.61079774376	0	0	0	0	151087.83239323125	44766.765153550004	0	0	0	0	0	0	50362.61079774376	0	0	77808.90133831311	72087.65859284891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50020.00800320128	0	0	0	0	0	66693.34400426838	17080.002732800436	0	0	0	0	0	0	0	17080.002732800436	0	0	17080.002732800436	0	0	0	0	0	0	0	0	67150.14773032501	34160.00546560087	36581.79689786362	0	69204.15224913495	17080.002732800436	16787.536932581253	0	17080.002732800436	0	0	0	0	0	0	0	114531.79402602161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50020.00800320128	0
N32	0	0	0	0	7707.841958408485	770.7841958408484	23466.683222688844	2631.946034578507	0	0	1879.9614532703622	0	3007.9383252325792	187.9961453270362	1691.9653079433258	4681.018175654467	0	0	0	0	66434.25687961599	0	0	4619.425831237962	4135.915197194797	0	408.74919476408627	0	38987.95401564839	1970.9550213281968	2067.9575985973984	0	0	0	0	0	17923.37222520329	2255.9537439244345	0	6423.201632007071	514158.39887266007	0	0	0	0	3571.926761213688	1547.0937264189074	0	3083.1367833633935	1320.5743215455095	0	0	0	0	1691.9653079433258	118553.95012218764	0	2075.1882195715148	0	0	0	88640.18252169757	1691.9653079433258	0	0	0	0	0	204.37459738204313	0	1503.9691626162896	939.9807266351811	563.9884359811086	1503.9691626162896	3269.993558	5417.158002897529	7512.706718955105	0	3195.9344705596154	2631.946034578507	0	3287.8763353836193	18847.257391450883	3195.9344705596154	0	0	8632.782993417502	1879.9614532703622	10901.844961721588	0	1315.9730172892534	0	0	4530.563593873689	0	0	0	0	39835.856102802725	0	499.58234915610547	22352.741679384606	754.6138980260055	0	0	0	0	0	0	0	0	0	0	126261.79208059612	674.4361713607424
N28	0	0	0	0	22773.33697706725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22231.11466808946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108131.48788927335	0	0	0	0	22773.33697706725	0	0	0	0	0	0	0	0	0	11115.55733404473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	538100.1128697798	0	0	0	0	0	163398.69281045752	0	0	97551.45839430299	0	0	0	0	0	0	0	0	0	0	0	0	0	61083.62348054486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11115.55733404473	0
N35	0	0	0	29801.394989108296	3354.1197280479723	0	0	0	0	116146.4848475489	0	0	0	0	0	0	0	0	0	15345.711931125126	1190.6399034629167	1523.8413689842553	0	0	2134.4398269396193	0	331.48497312319836	3314.8497312319837	0	0	0	4636.399094279436	0	0	0	0	0	0	357.191971	0	2573.883320721305	0	0	51906.64696787966	36423.92720891014	0	55204.723265936525	0	3750.515695908188	0	0	0	488981.4685	0	0	892.9799275971874	994.4549193695951	0	63860.13211951778	0	0	297.65997586572917	0	0	0	33031.50261592342	0	0	994.4549193695951	14246.14489	0	0	0	0	0	3163.0855266695557	0	5385.355871047654	0	3049.199752770884	0	546.9502056532774	0	0	105798.12933233543	0	0	0	0	0	0	32526.596300796667	0	149304.88056611601	22066.611745321883	673.1694838809567	0	0	0	0	2160.7909359141822	0	0	0	0	0	27158.90676347308	0	0	15610.254518104346	7000.962632	0	0	1190.6399034629167	0
N27	0	0	0	20837.766900759027	571.5748946015894	0	0	0	0	116095.89702022543	0	0	0	285.7874473007947	0	0	0	0	0	0	557.9659685396468	0	0	0	285.7874473007947	0	0	0	0	0	0	0	0	0	0	0	0	285.7874473007947	0	0	0	0	0	26536.20503319438	17734.269702773636	285.7874473007947	8231.497944	0	113657.66779152607	0	302.66050692002983	0	0	1976.4095753091106	0	0	0	0	16404.199475065616	271.59270654082144	0	278.9829842698234	0	0	0	26134.141320570223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19487.258241655964	58183.645013123365	0	0	4896.775962706154	0	0	0	0	0	0	19960.862193110814	0	58541.70423	8484.930762964976	0	0	6858.898735219074	0	0	0	0	0	0	0	19212.125511338112	156971.21911485205	0	7898.318265772335	9753.848337	3690.944881889764	0	105851.42228843016	278.9829842698234	246233.86920384952
N29	0	0	0	0	10370.001659200265	0	0	0	0	0	0	0	10370.001659200265	82960.01327360212	0	0	0	0	10370.001659200265	0	10123.096857790735	0	0	0	10370.001659200265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175070.0280112045	0	0	0	0	0	42669.39750810719	0	0	0	0	0	0	0	31110.004977600798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20740.00331840053	10370.001659200265	0	0	0	0	0	0	0	0	0	0	88841.50675195451	0	0	0	0	0	0	0	0	0	0	22893.772893772893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30369.290573372204	372023.8095238096
N15	0	37.39619004624114	0	0	32502.631463047295	0	28417.518499111433	2243.771402774468	0	1014.6466269899249	2756.6334376943464	0	2051.4481396795136	833.4008067448025	1987.340385314529	420.06679230024287	0	0	1089.8318242047417	0	114273.59853068933	0	0	13043.073900922542	17950.171222195742	0	1324.1650930009928	0	69248.01071069503	252.04007538014574	2115.5558940444985	0	0	0	0	27399.83869834088	29803.738913702233	3141.2799638842553	0	16062.554010337857	130077.69758010839	0	0	0	0	16732.123889261034	0	0	2102.7343431715017	1672.629591159149	0	0	402.8961788923498	0	1474.4783503946503	148255.28746944308	1463.5508922642553	13586.89883280047	0	0	0	135613.84885870962	2307.8791571394527	0	0	0	0	0	418.1573977897872	142.62732947868713	897.5085611097873	1666.801613489605	961.6163155	1089.8318242047417	11638.714238482411	1921.1729440623155	47627.598295095006	0	2115.5558940444985	7051.852980148328	0	0	25960.12776415501	7949.361541258116	137.30541419963163	0	26104.82841919679	2307.8791571394527	20982.33627539713	0	1538.5861047596354	0	0	24648.94218116593	0	283.0603923500098	0	0	0	0	2385.0458985047126	525.6835857928754	128.66381470454994	0	0	1326.048684882929	8565.017044383918	0	0	0	0	0	0	167154.86400628215	0
N19	9296.932181415264	0	0	0	5985.433848187052	0	32465.13288305719	5763.751113069013	0	4350.686678702631	6295.789677352306	0	4611.0008904552105	1463.106051779057	5497.731830927366	4706.354834053928	0	0	975.4040345193714	0	48085.09651124664	0	0	12681.011636200863	3458.250667841408	9719.520008	0	0	71292.56026	1103.959775889193	5896.7607541398365	0	0	13381.947836885607	0	0	30634.883780925105	4655.337437478818	0	11815.689781791476	544537.5584956842	0	0	0	0	2704.5293684400754	1961.137372108759	0	0	2580.511055087326	10752.512472444925	0	0	0	2261.1638982039976	59121.72982	0	0	0	0	0	53971.30094466656	4566.664343431603	0	0	0	0	0	0	0	2083.817710109566	4788.347078549641	709.3847523777247	2571.519727369252	0	0	31006.118755528754	0	6384.462771399521	1019.7405815429792	0	39.76434061179824	26538.611980915208	1019.7405815429792	3513.5059167439636	0	568.8639786346665	4921.356719620465	22485.91754047988	0	3724.2699499830546	0	0	12481.753327917126	0	97.88145381365719	0	0	40076.50926706843	0	117.82026847940219	0	0	0	0	0	0	0	0	0	0	0	0	70721.01503094239	0
N17	21.40939045	0	0	62.72372769622647	727.7700809353106	0	0	1192.734299310648	0	0	1273.5976416367937	80.95736946838534	4710.289690497983	4649.642183753374	1677.9143532675218	0	2632.6005093647477	0	1212.9501348921845	0	78898.55563938773	0	2351.448998655891	0	828.8492588429928	0	0	0	0	0	1010.7917790768204	3458.1128017952674	39.73934802671883	21.40939045	0	0	0	1698.1301888490582	0	0	527209.0734225877	0	404.78684734192666	0	62.72372769622647	1031.0076146583567	0	0	1574.8135918016862	1541.7755444212312	0	806.8929870855624	0	0	5336.980593525612	103191.73272595259	0	0	125.44745539245294	0	0	98021.29211126536	1051.2234502398933	3334.282208358267	0	142.20452970345463	0	60.647506744609224	0	0	4811.368868405665	1031.0076146583567	1415.1084907075485	2486.5477765289784	0	0	0	0	1010.7917790768204	606.4750674460922	4608.637013708556	0	0	3517.555391187335	146152.72173560935	76.67768473877905	5419.699036058063	1051.2234502398933	0	0	525.6117251199466	77.01696653	0	132.86896515803699	37.51257421487683	0	141.51084907075486	9582.306065648258	108.44756657758782	15672.413886962067	0	0	0	0	4590.146211946953	313.6186384811324	3501.173593388504	0	0	407.70423002547204	406.1361368330665	0	0	128372.96258984922	0
