Gene	AAC(3)-IIc	AAC(3)-IId	AAC(3)-IIe	AAC(6')-Ib	AAC(6')-Ib'	AAC(6')-Ib10	AAC(6')-Ib4	AAC(6')-Ib7	AAC(6')-Ib8	AAC(6')-Ib9	AAC(6')-Ib-cr5	AAC(6')-Ib-cr6	aadA	aadA15	aadA16	aadA2	aadA22	aadA24	aadA25	aadA3	ANT(2'')-Ia	ANT(3'')-IIa	ANT3Ii_AAC6_IID	APH(3'')-Ib	APH(6)-Id	arr-2	arr-3	cmlA9	CTX-M-1	CTX-M-129	CTX-M-14	CTX-M-15	CTX-M-232	CTX-M-24	CTX-M-27	CTX-M-3	CTX-M-55	CTX-M-65	CTX-M-9	dfrA12	dfrA14	dfrA27	Ecol_catII	floR	FosA3	fosA5	FosA6	KPC-2	KPC-3	KPC-4	KPC-6	LAP-2	mphA	NDM-1	NDM-5	NDM-6	NDM-7	qacE	qacEdelta1	QnrB1	QnrB17	QnrB2	QnrB20	QnrB6	QnrS1	QnrS4	rmtB	SFO-1	SHV-1	SHV-11	SHV-12	SHV-28	SHV-5	sul1	sul2	TEM-1	TEM-112	TEM-135	TEM-141	TEM-156	TEM-160	TEM-163	TEM-169	TEM-176	TEM-196	TEM-2	TEM-206	TEM-214	TEM-215	TEM-216	TEM-30	TEM-40	TEM-81	tet(A)	tet(D)
N34	0	60334.55510807427	0	0	0	0	0	0	0	0	0	0	0	0	0	66600.0666	0	0	0	131181.94936376755	0	0	0	129224.00982102474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73622.52260211443	29449.009040845776	0	58898.01808169155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45250.916331055705	15083.638777018568	30167.277554037137	30167.277554037137	0	108225.10822510823	429717.3414820474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36581.79689786362	0	0	0	0	0	16787.536932581253	50362.61079774376	0	0	67150.14773032501	67150.14773032501	0	0	151087.83239323125	50362.61079774376	0	0	0	114531.79402602161	0	0	0	0	50020.00800320128	50020.00800320128	33346.67200213419	66693.34400426838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44766.765153550004	77808.90133831311	0	0	0	17080.002732800436	0	34160.00546560087	0	72087.65859284891	17080.002732800436	0	0	17080.002732800436	0	0	0	0	0	17080.002732800436	0	0	0	17080.002732800436	0	0	17080.002732800436	17080.002732800436	69204.15224913495	0
N32	0	0	0	0	0	0	0	4582.485573502236	0	0	0	0	0	0	0	2098.970664785989	206.71680789558982	0	413.43361579117965	3307.468926329437	0	505.3077526	0	0	1564.8240081558629	0	0	0	0	11026.784245827765	18128.78087873378	0	0	23735.62032576485	19063.25411990563	0	0	39434.770777451835	4672.366205859223	0	7598.805191503708	0	40292.390144583376	0	0	779.6176754919388	22608.912589266227	127708.80017582235	119912.62342090296	67195.61869716234	89656.03268157295	763.2620599221779	0	0	0	0	0	0	0	0	0	0	0	0	4734.664421937345	1993.5429144999348	6496.813962432823	0	3612.862399	4183.314356298208	7796.176754919388	2662.109135826133	3232.561093503161	3118.4707019677553	520050.8494163874	3042.4104409441516	190.15065255900947	3232.561093503161	1711.3558730310851	1711.3558730310851	570.4519576770284	2281.8078307081137	1335.7086048638114	1901.5065255900947	1331.0545679130664	0	2662.109135826133	1711.3558730310851	1901.5065255900947	950.7532627950474	2091.657178149104	1521.2052204720758	1521.2052204720758	8731.717965509715	0
N28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343112.0260765139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214845.8481039854	0	0	0	0	39096.098209398704	39096.098209398704	78192.19641879741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80099.32316071929	0	80099.32316071929	0	0	0	380324.54361054767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N35	0	0	0	62541.88072	134018.31583649764	69320.65755595168	76440.07644007643	313334.59508338064	68261.04975742949	108932.46187363836	32760.032760032755	14692.378328741966	6956.618526866461	2086.9855580599383	0	0	2086.9855580599383	11301.829483647665	695.6618526866461	0	0	4534.684669364804	46309.48988	222030.3441470334	115853.87929473951	0	9730.051873339049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2498.7037974050963	1874.027848053822	2498.7037974050963	624.6759493512741	0	0	0	0	0	0	0	56996.29524080935	0	0	0	0	0	0	0	0	0	0	4479.383636811575	7039.031429275332	6399.119481159393	0	7870.916961826053	5401.609679684547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N27	0	15624.755863189639	0	47468.99365733446	37369.20777279521	59534.27708901199	40399.14353815698	133359.5773571127	45471.38114	60450.189044227554	22219.52894598634	8408.071748878923	0	0	44392.498595341836	0	0	0	0	0	0	0	19328.90057213546	11154.987394864243	18751.573792800467	0	0	17992.581520234733	0	0	0	0	0	0	0	0	0	0	0	4502.314189	0	0	0	0	0	0	0	635.5307444352928	0	1271.0614888705857	635.5307444352928	0	618.6954929	0	689.4687780958527	0	0	43765.73883300341	357584.6606	0	0	0	0	0	0	0	0	241132.38799337455	651.0314942995683	651.0314942995683	1302.0629885991366	0	0	258915.2252829383	0	0	651.0314942995683	0	0	0	0	651.0314942995683	0	0	0	0	0	0	0	0	0	0	0	0	0
N29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199004.97512437808	95579.45042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68027.21088435373	0	22675.736961451246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23228.803716608592	23228.803716608592	0	0	0	392156.8627450981	23228.803716608592	185830.42973286874	0	0	69686.41114982578	46457.607433217185	0	0	0	0	23228.803716608592	0	0	0	0	0	0	23228.803716608592	0	0
N15	0	0	0	0	0	0	0	24722.631096505742	0	0	0	0	0	1467.926231254582	0	13627.517364438141	419.40749464416626	0	1328.1237330398599	11673.508600929295	0	2392.176080563023	0	137.7158937637561	0	0	0	0	0	21045.06373810385	29892.838282652017	0	0	28502.47371136588	26037.736516813176	0	0	69455.03017	13082.066648010503	0	47769.98274	0	0	0	27481.751519561632	0	527.2551361240947	167654.5795937449	148698.50208071197	114615.22363840441	136019.2714262992	129.04845989051273	0	0	0	0	0	1330.0129559887075	8590.622476504648	0	0	0	0	0	421.3225973594365	252.7935584156619	16110.573603791785	0	16782.145186388872	18003.833916432504	32599.799270111715	7072.934752884198	7973.126448705824	2109.020544496379	130466.56962070664	2057.5810190208576	835.8922889772234	2121.8804258652594	2314.778646398465	1478.8863574212414	964.4911026660271	3150.6709353756887	1677.6299785766653	2764.8744943092775	1543.1857642656435	1093.0899163548306	2250.479239554063	1993.281612176456	2314.778646398465	1671.7845779544468	2121.8804258652594	900.1916958216253	1093.0899163548306	26182.869759762405	0
N19	0	0	0	0	0	0	0	12528.143230702979	0	0	0	0	0	0	0	0	0	0	0	0	0	118.25816135048927	0	3526.5642743026506	1968.4261695758862	0	0	0	0	22569.489095000226	30748.74192594023	0	0	32585.793363905366	26637.245850494455	0	0	71557.52744073716	12728.142105901292	0	31121.356638945217	0	40225.45832254587	0	0	0	0	70983.85799266511	59341.46267930266	48263.81042	54171.891625981276	0	0	13431.683418332324	10792.475448414394	9331.485322209826	9755.643745946636	0	0	0	0	0	0	0	4723.846555	1108.0627721059543	11859.604181149067	0	2714.581069606353	3471.103662775337	6007.679416341929	1023.5305672286249	1023.5305672286249	0	546561.3963	4628.138217033783	1468.5438573280271	6408.191377431391	4583.636888023842	2269.567779506951	712.0212641590434	4672.6395460437225	2590.1018276205064	6319.188719411511	3738.111636834978	979.0292382186848	5785.172771292228	5518.164797232587	4939.6475201033645	4806.143533073543	5918.676758322049	2091.562463	2581.0770825765326	570.9782284498917	0
N17	60.647506744609224	9582.306065648258	141.51084907075486	62.72372769622647	125.44745539245294	142.20452970345463	62.72372769622647	132.86896515803699	77.01696653	0	407.70423002547204	406.1361368330665	0	0	4608.637013708556	0	0	0	0	0	0	0	37.51257421487683	146152.72173560935	0	806.8929870855624	3458.1128017952674	0	0	0	0	0	0	0	0	0	39.73934802671883	0	0	0	0	4590.146211946953	108.44756657758782	15672.413886962067	0	0	0	128372.96258984922	103191.73272595259	78898.55563938773	98021.29211126536	0	0	21.40939045	0	21.40939045	0	313.6186384811324	3501.173593388504	404.78684734192666	2351.448998655891	80.95736946838534	76.67768473877905	2632.6005093647477	0	0	0	0	1031.0076146583567	828.8492588429928	727.7700809353106	606.4750674460922	3517.555391187335	1574.8135918016862	527209.0734225877	4710.289690497983	4649.642183753374	1010.7917790768204	1051.2234502398933	5336.980593525612	1415.1084907075485	1698.1301888490582	1541.7755444212312	1273.5976416367937	525.6117251199466	1212.9501348921845	1192.734299310648	1677.9143532675218	1051.2234502398933	1031.0076146583567	1010.7917790768204	4811.368868405665	2486.5477765289784	5419.699036058063	3334.282208358267
